Bank_Name,Year,Quarter,Capital_Adequacy_Ratio,Non_Performing_Loans_Ratio,Liquidity_Coverage_Ratio,Return_on_Assets,Loan_to_Deposit_Ratio,Net_Interest_Margin,Operational_Efficiency_Ratio,Went_Defunct
Central Coast Trust,2012,4,17.18,2.14,125.76,2.7,82.78,3.26,48.59,No
First Coast Trust,2012,4,13.03,1.18,121.52,1.45,52.19,3.03,62.62,No
United Plains Bank,2012,4,7.85,6.75,87.47,-1.57,71.23,0.0,68.19,Yes
National State Bancorp,2012,4,13.63,1.37,124.61,2.82,59.0,3.24,55.39,No
Community Valley Financial,2012,4,10.28,3.35,117.12,1.81,91.12,3.26,59.25,No
United River Bancorp,2012,4,8.71,5.05,82.5,-1.5,91.83,0.86,73.78,Yes
Metropolitan State Credit,2012,4,13.64,2.27,115.09,2.34,67.25,2.84,50.49,No
Central Plains Financial,2012,4,6.93,8.17,66.37,-0.15,96.66,0.67,65.32,Yes
First River Trust,2013,1,13.97,2.01,122.11,2.52,65.23,2.31,50.7,No
Central America Bancorp,2013,1,6.62,6.21,84.74,-3.49,116.8,1.4,84.57,Yes
Community Plains Trust,2013,1,0.0,10.85,59.74,-1.51,97.44,1.2,86.39,Yes
Regional River Financial,2013,1,13.79,2.82,122.53,2.21,59.09,2.62,58.95,No
Metropolitan Valley Credit,2013,1,13.67,2.72,114.86,2.46,58.39,3.54,47.39,No
Regional America Trust,2013,1,9.37,2.44,87.63,-1.36,94.31,1.1,73.03,Yes
United Plains Bancorp,2013,1,11.86,1.26,112.99,2.24,60.98,2.62,36.27,No
United America Financial,2013,1,10.99,3.31,111.54,1.63,71.94,2.81,72.28,No
First Valley Trust,2013,1,11.67,2.34,129.44,2.46,72.33,2.92,70.24,No
Central Mountain Bancorp,2013,1,11.8,1.56,113.54,1.14,78.22,1.83,49.94,No
Metropolitan River Financial,2013,1,11.59,4.24,101.68,1.55,68.64,2.9,44.5,No
First Valley Bancorp,2013,1,5.84,3.22,73.57,-3.32,99.61,0.7,90.16,Yes
Regional Mountain Bancorp,2013,1,15.51,1.67,133.91,1.84,60.34,3.87,55.21,No
Community America Trust,2013,1,12.01,2.69,122.74,1.97,56.74,2.86,56.23,No
Regional America Bancorp,2013,1,11.75,2.9,123.84,1.56,56.81,2.92,44.76,No
United Coast Bancorp,2013,1,12.67,1.28,113.85,2.53,71.48,2.65,50.18,No
United Mountain Bank,2013,1,14.76,2.29,125.93,1.62,80.26,4.16,42.09,No
Regional River Credit,2013,1,9.64,2.18,128.76,1.95,59.47,2.95,55.98,No
First Coast Financial,2013,1,11.19,2.61,131.65,2.12,69.72,3.41,41.44,No
Metropolitan Plains Bank,2013,1,10.09,1.73,115.08,1.6,88.3,4.09,46.46,No
National River Trust,2013,1,12.18,1.81,131.07,2.65,52.23,3.24,36.93,No
Metropolitan America Trust,2013,1,15.52,2.44,111.77,1.88,67.11,3.26,60.42,No
National Valley Trust,2013,1,9.7,3.84,136.06,1.56,70.73,3.86,62.33,No
Metropolitan Plains Trust,2013,1,11.33,2.81,149.97,2.05,63.67,3.09,52.47,No
Central Mountain Bancorp,2013,1,10.95,2.44,107.46,1.67,77.58,2.12,59.03,No
Regional America Credit,2013,1,1.98,1.81,65.01,-0.71,119.88,1.03,77.53,Yes
Community America Trust,2013,1,13.16,1.13,121.39,1.4,70.83,2.94,41.96,No
Regional America Financial,2013,1,12.33,2.16,131.75,1.2,69.24,2.62,58.7,No
Regional America Financial,2013,1,7.51,8.52,62.96,-0.11,77.05,0.13,67.24,Yes
United Valley Bancorp,2013,1,11.93,2.68,90.24,2.66,71.31,2.22,51.01,No
First Mountain Financial,2013,1,8.19,8.8,80.99,-2.37,93.79,0.54,97.18,Yes
Central River Trust,2013,1,13.28,4.85,115.32,1.64,68.57,3.69,46.34,No
Metropolitan Mountain Financial,2013,1,12.25,2.1,120.39,1.67,68.63,2.91,49.92,No
Community America Credit,2013,1,13.89,3.76,111.6,1.8,61.75,3.09,44.62,No
Metropolitan River Trust,2013,1,12.48,3.1,94.74,2.25,65.4,3.23,41.04,No
First Mountain Financial,2013,1,14.39,2.91,125.68,2.4,62.54,2.69,57.52,No
National Valley Bancorp,2013,1,10.46,3.45,116.76,2.25,90.99,2.65,50.69,No
Central River Credit,2013,1,8.11,9.85,66.72,-1.52,96.5,1.72,77.21,Yes
Central State Financial,2013,1,12.16,1.57,127.06,2.08,59.97,2.52,30.01,No
Metropolitan Mountain Bank,2013,1,10.34,2.79,133.24,2.34,75.55,2.94,57.75,No
Regional River Bancorp,2013,1,12.57,3.8,119.02,2.67,78.74,3.37,29.89,No
Regional America Financial,2013,1,13.86,1.87,115.56,1.26,69.94,3.02,36.97,No
Community Mountain Trust,2013,1,9.05,2.49,128.72,2.1,81.51,2.96,49.46,No
Regional River Bancorp,2013,1,10.17,0.44,138.55,2.57,56.07,3.08,49.0,No
Community Coast Bank,2013,1,11.45,1.59,123.81,2.41,74.02,2.94,48.43,No
Community America Credit,2013,1,13.87,2.46,120.73,1.98,73.45,2.77,58.22,No
National Valley Trust,2013,1,9.85,1.59,126.11,1.43,54.27,3.03,33.04,No
Community Plains Financial,2013,1,9.4,2.76,117.95,2.64,57.95,2.95,54.0,No
Community Mountain Trust,2013,1,9.66,3.03,125.11,1.2,69.62,3.19,44.1,No
Regional Plains Credit,2013,1,9.04,2.28,142.11,1.81,85.69,2.62,52.16,No
National River Bancorp,2013,2,13.54,1.99,117.02,2.36,88.91,3.15,44.84,No
Regional Mountain Trust,2013,2,5.62,14.56,71.35,-1.59,82.82,0.09,83.64,Yes
Community Valley Bank,2013,2,13.31,1.6,119.85,1.41,71.33,3.24,44.65,No
Metropolitan America Financial,2013,2,15.38,1.16,122.83,2.42,69.23,2.91,35.71,No
First Plains Trust,2013,2,14.71,1.83,125.37,2.34,63.72,2.9,63.34,No
Metropolitan Mountain Financial,2013,2,9.77,4.13,112.55,1.41,71.32,4.1,30.89,No
Central Valley Financial,2013,2,5.72,8.43,70.34,-0.62,89.23,0.7,78.52,Yes
National Valley Bancorp,2013,2,9.74,1.96,116.11,1.76,73.21,2.09,47.71,No
First America Bank,2013,2,16.63,0.91,132.86,2.03,63.97,2.34,51.4,No
First Valley Bank,2013,2,14.91,1.61,119.19,2.51,73.41,2.21,50.99,No
National Plains Credit,2013,2,15.02,1.96,92.59,2.19,68.02,2.09,33.21,No
National River Bank,2013,2,13.95,1.27,110.93,1.98,63.56,3.05,47.97,No
United Plains Bank,2013,2,9.6,1.49,124.43,2.02,69.18,3.97,57.31,No
Regional Coast Financial,2013,2,13.7,1.83,122.2,1.78,77.78,2.94,52.22,No
Metropolitan State Trust,2013,2,12.32,1.98,149.38,1.67,63.24,3.35,44.05,No
First River Bank,2013,2,11.42,0.91,124.92,2.25,66.85,3.36,31.42,No
Regional State Financial,2013,2,10.59,1.83,108.28,1.13,66.92,3.35,62.82,No
United River Credit,2013,2,10.91,2.73,126.37,2.61,66.5,2.1,50.7,No
United Valley Credit,2013,2,9.97,1.28,116.99,1.83,71.42,3.35,46.32,No
United Plains Trust,2013,2,12.79,2.01,129.35,1.91,69.21,2.81,48.38,No
First River Financial,2013,2,10.43,1.12,127.76,1.46,66.81,3.51,46.47,No
Central Coast Trust,2013,2,13.66,1.41,109.49,1.2,83.13,2.43,57.47,No
Central River Bancorp,2013,2,4.0,10.95,92.07,-2.69,83.73,1.39,85.13,Yes
First State Credit,2013,2,13.55,1.43,139.88,2.06,57.83,2.87,37.96,No
National Valley Bank,2013,2,9.18,5.02,74.92,-1.47,90.77,0.04,85.98,Yes
Central Coast Bancorp,2013,2,14.6,1.08,104.55,2.4,53.54,3.61,40.96,No
Metropolitan State Bank,2013,2,9.79,2.25,109.62,1.65,73.54,1.79,66.42,No
National State Bank,2013,2,12.09,0.71,109.83,2.5,76.01,3.69,43.17,No
United Mountain Bank,2013,2,12.59,2.43,126.95,2.56,62.83,2.94,43.9,No
Central River Bancorp,2013,2,11.89,2.7,103.46,2.55,58.61,2.85,62.44,No
Central State Credit,2013,2,12.66,2.34,108.19,1.48,79.41,2.71,45.05,No
Regional Coast Bank,2013,2,13.93,0.95,122.69,2.02,69.97,2.74,44.2,No
Regional Plains Financial,2013,2,9.84,2.48,113.32,2.48,67.75,2.47,47.62,No
Community Coast Bancorp,2013,2,5.18,10.03,66.31,-1.28,121.17,1.25,96.63,Yes
Metropolitan Plains Bank,2013,2,14.52,1.11,129.9,2.76,85.33,3.49,59.68,No
Central Plains Trust,2013,2,5.39,4.49,66.48,-2.66,120.14,0.86,92.91,Yes
Regional River Financial,2013,2,9.54,3.08,115.05,1.36,86.27,3.55,52.12,No
Regional State Trust,2013,2,6.07,8.32,71.95,-1.79,93.82,1.98,106.72,Yes
First River Bank,2013,2,15.13,2.48,116.62,1.6,62.68,2.72,71.51,No
United Coast Trust,2013,2,9.61,9.24,60.39,-0.11,96.42,0.0,82.87,Yes
Metropolitan Valley Financial,2013,2,4.32,4.58,67.5,-1.5,99.49,0.96,61.24,Yes
Central Mountain Financial,2013,2,15.04,1.02,110.48,1.84,68.92,3.73,52.69,No
Central Plains Credit,2013,2,7.13,7.82,72.31,-0.69,71.01,0.88,91.62,Yes
Metropolitan Mountain Bank,2013,2,19.88,0.8,124.23,1.71,90.48,2.32,56.25,No
First Valley Financial,2013,2,9.19,1.68,119.66,2.53,59.23,3.33,50.19,No
Regional America Credit,2013,2,12.55,2.96,107.17,2.41,64.31,3.55,53.35,No
Metropolitan Plains Trust,2013,2,5.58,5.23,78.23,0.26,92.01,0.43,86.94,Yes
Regional River Bank,2013,2,3.1,3.08,59.37,-1.42,79.96,0.03,68.65,Yes
Metropolitan America Bancorp,2013,2,13.28,0.73,116.6,2.97,69.51,3.17,40.54,No
Community Coast Bancorp,2013,2,16.33,1.46,117.72,2.66,68.18,3.02,47.18,No
National America Credit,2013,3,11.45,2.37,125.53,1.68,62.34,2.7,35.99,No
Metropolitan Coast Bancorp,2013,3,8.82,2.3,129.39,2.44,46.18,2.88,38.98,No
Metropolitan River Bank,2013,3,12.29,1.58,125.92,1.99,51.04,2.52,50.06,No
Community America Bank,2013,3,12.18,0.59,104.64,2.03,55.96,2.17,45.55,No
Metropolitan Coast Financial,2013,3,11.02,1.12,112.96,2.01,62.8,3.04,46.2,No
Metropolitan Mountain Trust,2013,3,12.34,2.88,128.39,2.64,78.38,3.12,45.67,No
Metropolitan Coast Bank,2013,3,11.22,1.12,120.05,2.35,62.74,2.98,43.23,No
Central America Financial,2013,3,6.42,5.35,62.6,-1.68,107.55,0.95,75.72,Yes
National River Trust,2013,3,12.52,1.59,131.27,1.51,68.13,2.3,46.53,No
Regional Plains Financial,2013,3,8.64,2.75,127.67,2.39,70.29,2.56,42.0,No
Community River Bank,2013,3,15.06,3.44,121.23,1.74,83.69,2.65,52.29,No
United Plains Financial,2013,3,14.7,1.16,128.29,2.26,69.6,2.5,42.76,No
United Plains Credit,2013,3,12.58,0.58,121.31,2.27,79.85,2.3,63.16,No
Community Coast Trust,2013,3,15.39,2.41,109.62,1.84,69.52,3.14,50.22,No
Community State Bancorp,2013,3,12.56,1.91,122.65,1.77,66.62,2.71,69.17,No
Metropolitan America Trust,2013,3,14.93,2.56,133.25,2.4,71.81,2.25,47.38,No
Metropolitan Mountain Financial,2013,3,11.33,0.87,105.14,2.25,73.25,2.42,42.54,No
Metropolitan Valley Bank,2013,3,8.32,4.37,71.71,-1.19,107.6,0.57,80.9,Yes
First Valley Bank,2013,3,12.34,2.23,120.79,2.17,91.92,4.28,43.61,No
Metropolitan River Bancorp,2013,3,7.36,2.6,121.86,2.53,72.85,3.03,61.29,No
Metropolitan Mountain Bancorp,2013,3,14.54,0.61,111.83,1.95,70.98,2.89,54.34,No
Central Coast Bank,2013,3,7.99,12.17,75.79,-1.85,97.79,0.96,85.15,Yes
Regional Plains Bancorp,2013,3,6.78,13.15,65.38,-0.62,135.32,0.71,81.45,Yes
Community America Bank,2013,3,10.11,2.08,112.2,2.52,71.47,2.53,58.41,No
Regional State Financial,2013,3,12.36,2.95,108.52,2.18,77.73,2.79,37.41,No
Regional River Bank,2013,3,11.92,3.23,131.26,1.79,57.17,2.78,45.32,No
Metropolitan State Bank,2013,3,12.89,1.89,112.47,2.55,71.4,3.22,32.75,No
National Mountain Bank,2013,3,1.15,2.69,65.19,-0.42,64.87,1.8,81.71,Yes
Community State Bancorp,2013,3,14.72,1.11,125.04,2.04,78.18,2.88,54.73,No
Regional Valley Financial,2013,3,14.2,1.35,122.42,1.06,77.03,3.98,37.56,No
Community Mountain Credit,2013,3,11.82,2.88,120.31,2.08,66.09,2.79,49.13,No
Central River Bancorp,2013,3,6.08,3.46,69.34,0.57,93.71,0.38,78.49,Yes
National Coast Credit,2013,3,10.57,0.66,121.39,1.64,63.75,3.08,34.67,No
Community Mountain Credit,2013,3,8.52,2.67,100.69,1.51,52.0,2.76,54.28,No
Community State Bancorp,2013,3,12.22,4.39,130.87,1.53,58.03,4.35,60.63,No
First River Bank,2013,3,13.18,2.07,122.74,1.26,71.57,3.04,40.96,No
Community River Credit,2013,3,10.92,3.52,118.75,3.04,52.59,2.74,34.53,No
First State Bank,2013,3,9.58,1.17,123.15,2.13,63.21,1.89,64.78,No
Metropolitan America Credit,2013,3,5.43,3.65,72.75,-0.8,95.16,1.07,68.45,Yes
Regional River Bancorp,2013,3,7.52,4.01,63.94,-0.35,118.06,1.79,90.56,Yes
Regional Valley Bank,2013,3,5.35,2.38,84.05,0.37,89.92,1.46,76.68,Yes
Central Coast Bancorp,2013,3,15.0,1.49,139.79,2.39,87.98,2.77,54.05,No
First River Bank,2013,3,10.06,2.84,128.99,3.2,74.82,3.36,45.29,No
United Plains Trust,2013,3,13.08,1.62,121.16,2.09,66.48,3.03,46.25,No
Regional State Trust,2013,3,11.24,3.08,121.75,2.17,55.43,3.21,55.3,No
National State Bancorp,2013,3,11.2,4.09,97.11,2.39,77.13,3.27,51.76,No
Metropolitan Valley Bancorp,2013,3,13.1,2.87,112.74,2.15,68.17,2.45,57.17,No
First River Credit,2013,3,10.87,0.5,114.61,1.6,80.28,3.08,63.82,No
United Mountain Trust,2013,3,8.0,4.75,156.79,1.86,92.92,2.85,38.67,
Central Mountain Credit,2013,3,13.17,2.31,117.4,1.56,76.94,2.51,71.34,No
National America Financial,2013,4,12.23,0.78,114.86,1.86,94.12,2.56,48.84,No
Regional America Trust,2013,4,10.92,2.5,114.78,1.43,68.05,2.85,44.08,No
Metropolitan State Financial,2013,4,10.92,3.18,116.8,1.43,65.38,3.03,36.64,No
First Valley Financial,2013,4,15.25,2.87,134.3,2.2,49.06,3.77,41.36,No
Community America Bank,2013,4,10.44,2.16,133.78,2.53,79.06,2.84,46.72,No
Metropolitan America Trust,2013,4,6.69,6.61,78.89,-0.17,108.87,0.0,81.28,Yes
First River Bancorp,2013,4,11.78,2.17,112.46,1.34,74.63,2.82,55.75,No
National Valley Credit,2013,4,10.66,3.42,130.01,2.15,67.87,3.43,53.93,No
First Valley Bank,2013,4,12.48,3.04,134.27,1.37,59.5,2.61,34.98,No
Central River Trust,2013,4,11.87,2.6,119.79,1.73,81.26,3.07,53.43,No
First Plains Credit,2013,4,14.31,1.88,140.6,1.78,89.98,2.51,55.17,No
First America Financial,2013,4,10.71,3.12,115.22,2.15,63.49,3.47,43.44,No
National State Financial,2013,4,15.37,1.0,106.54,2.48,64.08,3.0,46.78,No
Community State Trust,2013,4,9.37,1.92,132.65,2.5,72.32,3.56,39.4,No
National State Credit,2013,4,11.35,2.4,118.7,1.88,57.99,1.96,58.18,No
United Valley Bank,2013,4,12.49,2.9,115.63,1.64,70.07,3.43,47.69,No
United Mountain Financial,2013,4,13.6,0.99,118.39,1.96,82.26,3.1,67.46,No
National Plains Credit,2013,4,9.3,2.13,121.79,2.31,61.87,3.84,50.13,No
Regional Mountain Credit,2013,4,9.83,1.98,116.87,3.39,80.5,3.02,48.88,No
National Plains Trust,2013,4,13.9,3.0,90.88,2.32,70.28,2.34,58.8,No
Regional River Financial,2013,4,16.49,2.56,131.0,2.9,61.7,2.07,56.57,No
First Plains Financial,2013,4,11.5,0.63,119.22,2.36,68.51,2.61,47.76,No
Regional State Bank,2013,4,11.96,0.07,118.57,1.33,76.59,2.22,60.13,No
First America Bank,2013,4,5.18,5.37,72.94,-1.87,104.18,0.63,74.43,Yes
Community Coast Bank,2013,4,12.81,0.86,107.36,2.12,69.73,3.08,53.28,No
First River Bank,2013,4,12.11,2.61,120.97,1.0,52.52,3.96,50.0,No
Community Plains Credit,2013,4,13.9,1.65,119.42,1.77,94.66,3.13,44.65,No
First Coast Bancorp,2013,4,8.7,3.97,118.37,2.37,78.56,2.77,56.72,No
Community Coast Credit,2013,4,10.79,1.01,131.64,1.92,75.19,3.21,56.38,No
National America Trust,2013,4,8.89,1.41,116.76,1.58,74.29,3.59,63.45,No
Community Mountain Credit,2013,4,11.32,2.29,124.46,2.31,61.22,3.91,59.27,No
Community Coast Credit,2013,4,13.91,3.2,125.34,1.49,68.61,2.17,54.15,No
Metropolitan River Bank,2013,4,11.66,1.96,132.04,1.77,67.48,3.01,31.6,No
Regional America Bank,2013,4,11.47,0.0,114.14,2.43,74.47,2.7,50.41,No
First State Bank,2013,4,9.85,2.0,149.3,2.92,70.53,3.08,40.2,No
National River Financial,2013,4,10.4,2.36,114.75,2.45,85.7,3.17,51.02,No
United River Bank,2013,4,2.64,9.24,58.56,-1.42,114.39,1.51,75.33,Yes
Metropolitan America Trust,2013,4,5.18,4.9,58.02,-1.63,75.8,1.34,83.95,Yes
Metropolitan Mountain Credit,2013,4,7.12,4.14,58.05,-0.95,100.96,0.93,77.11,Yes
United State Financial,2013,4,15.42,2.43,139.71,2.63,87.03,2.46,55.93,No
Regional Plains Bank,2013,4,11.14,0.34,134.96,1.85,59.45,2.79,42.04,No
Central Coast Trust,2013,4,10.61,1.78,137.31,1.67,86.59,3.42,53.96,No
National Valley Bancorp,2013,4,13.5,2.01,132.86,2.28,53.35,3.15,57.84,No
Central Mountain Financial,2013,4,11.42,2.13,113.87,1.31,54.5,2.23,56.69,No
National State Financial,2013,4,1.02,5.0,62.34,-1.28,72.15,1.2,67.27,Yes
United State Financial,2013,4,8.26,5.13,69.04,-1.0,103.66,1.02,75.73,Yes
Regional State Bancorp,2013,4,12.69,2.47,112.35,2.21,81.92,3.35,59.32,No
Community Plains Bancorp,2013,4,12.34,1.06,111.9,2.16,79.43,4.39,59.82,No
Regional Coast Financial,2013,4,9.66,1.23,142.79,1.89,70.48,2.52,65.65,No
Central Plains Bank,2013,4,13.0,1.23,110.06,2.15,70.44,3.42,55.47,No
Community River Credit,2014,1,5.47,5.37,68.4,-1.55,98.05,1.01,71.02,Yes
United Coast Trust,2014,1,13.26,1.63,111.58,1.82,72.42,3.04,54.22,No
Community Mountain Bancorp,2014,1,13.8,3.3,122.85,1.47,67.31,2.5,66.97,No
Community Valley Bank,2014,1,15.97,2.65,128.58,2.13,73.66,2.2,49.26,No
Metropolitan Coast Credit,2014,1,10.24,2.28,119.4,2.97,79.17,3.14,47.33,No
Regional River Bancorp,2014,1,15.35,1.97,123.32,2.02,65.96,3.02,30.38,No
Regional America Bank,2014,1,2.9,8.05,85.68,-0.65,89.19,0.28,87.85,Yes
United State Credit,2014,1,10.87,2.64,123.9,2.24,70.34,3.19,48.81,No
Community America Credit,2014,1,10.73,1.04,96.15,1.91,85.19,3.37,52.28,No
National Coast Credit,2014,1,4.53,9.99,68.81,0.57,85.28,0.63,71.53,Yes
Central Mountain Bank,2014,1,9.04,1.06,121.03,1.64,31.44,3.54,33.16,No
Regional Mountain Bancorp,2014,1,13.18,2.03,141.17,2.5,64.95,2.65,65.03,No
United America Bancorp,2014,1,9.05,2.19,118.69,1.83,73.54,3.09,54.57,No
Community Coast Credit,2014,1,12.28,2.42,120.93,1.67,70.04,2.64,42.2,No
Metropolitan River Bank,2014,1,11.33,1.88,120.35,2.46,65.02,3.1,51.18,No
Community Coast Bank,2014,1,10.78,2.07,130.03,2.09,72.27,2.65,69.69,No
Regional Plains Trust,2014,1,4.7,2.0,78.6,-1.11,95.45,0.73,98.72,Yes
Regional Plains Bank,2014,1,12.71,2.55,121.63,2.14,83.99,2.87,35.43,No
United Valley Trust,2014,1,13.74,2.5,121.08,2.24,66.29,3.01,48.68,No
Community America Bancorp,2014,1,4.82,10.57,55.88,1.36,113.16,0.11,77.76,Yes
Metropolitan Mountain Bancorp,2014,1,11.66,2.39,110.11,2.02,68.79,2.63,41.23,No
First Plains Trust,2014,1,13.84,0.3,124.78,2.4,67.81,3.03,61.63,No
United Mountain Bancorp,2014,1,4.59,5.2,65.05,0.17,119.38,0.3,90.06,Yes
First State Bancorp,2014,1,7.64,11.66,73.85,-1.04,117.18,1.35,102.45,Yes
United River Bank,2014,1,13.92,2.15,108.26,1.71,55.64,2.89,59.26,No
Community Plains Financial,2014,1,11.99,3.02,123.38,1.8,70.88,3.24,51.39,No
National State Bank,2014,1,12.3,1.23,115.67,3.13,82.28,2.26,26.33,No
First Valley Bancorp,2014,1,12.15,2.89,114.8,2.51,70.6,2.92,57.56,No
Central Mountain Bancorp,2014,1,10.94,1.71,126.7,1.98,89.09,3.35,56.29,No
National Valley Credit,2014,1,11.9,2.87,116.77,2.14,60.84,3.52,52.91,No
United Valley Trust,2014,1,15.97,4.39,127.63,2.03,60.54,3.45,52.1,No
First America Financial,2014,1,13.08,3.73,111.76,1.54,67.64,3.41,55.55,No
National Mountain Trust,2014,1,10.21,2.76,107.99,1.58,68.85,2.72,58.9,No
Regional America Financial,2014,1,6.57,12.3,67.53,-1.12,118.16,0.95,94.94,Yes
National Valley Financial,2014,1,13.08,0.0,131.78,2.46,79.51,2.04,43.37,No
First River Trust,2014,1,10.82,1.16,137.42,1.99,69.63,3.28,55.69,No
First Coast Bank,2014,1,5.33,1.35,105.87,2.2,67.11,3.01,29.21,No
National Plains Financial,2014,1,11.38,3.12,134.09,2.36,56.65,3.63,57.24,No
National State Trust,2014,1,5.77,0.92,79.54,-1.59,105.19,1.03,95.38,Yes
Central Plains Financial,2014,1,5.75,6.95,85.79,-1.66,112.21,0.9,69.97,Yes
United River Bancorp,2014,1,6.0,9.08,83.54,0.47,95.58,0.51,76.81,Yes
Regional Coast Credit,2014,1,9.64,1.78,116.58,2.36,47.94,2.63,42.74,No
Central River Credit,2014,1,14.37,0.89,122.27,1.94,80.43,3.3,51.21,No
United Mountain Bancorp,2014,1,10.89,0.15,122.47,2.27,54.25,2.38,52.52,No
Community Coast Bancorp,2014,1,6.68,4.03,64.26,-2.84,120.66,0.35,85.42,Yes
First Mountain Trust,2014,1,5.93,10.87,62.08,-0.94,74.52,0.03,85.96,Yes
Metropolitan Plains Bancorp,2014,1,8.43,1.77,130.11,2.37,63.35,2.21,55.09,No
Regional Mountain Trust,2014,1,14.68,1.34,111.97,1.74,75.72,3.61,37.6,No
National America Credit,2014,1,9.0,4.34,118.23,2.13,63.08,3.24,59.6,No
Community Mountain Credit,2014,1,12.6,3.74,116.73,1.87,72.31,3.23,52.28,No
Metropolitan Valley Bancorp,2014,2,9.43,2.31,116.26,1.71,70.32,2.52,38.65,No
Community Plains Trust,2014,2,0.77,12.24,75.56,-1.12,89.99,0.0,72.71,Yes
United Valley Trust,2014,2,13.43,2.94,126.42,2.08,83.04,2.84,60.85,No
National Valley Trust,2014,2,11.23,1.12,109.94,1.47,76.59,2.63,39.67,No
Metropolitan America Bank,2014,2,13.43,2.33,129.63,2.26,62.47,3.04,51.25,No
Metropolitan River Financial,2014,2,10.16,0.9,113.19,3.02,65.87,3.62,45.31,No
Community River Financial,2014,2,7.78,9.71,79.53,-0.61,120.66,1.19,97.14,Yes
United America Bank,2014,2,8.76,2.35,122.83,1.53,75.8,2.25,43.46,No
United Valley Bancorp,2014,2,2.0,11.68,67.68,1.17,112.04,1.22,74.14,Yes
National Coast Bank,2014,2,9.91,2.52,119.28,1.33,54.83,2.52,68.21,No
Metropolitan State Bancorp,2014,2,16.43,2.2,121.49,1.83,60.66,3.69,68.74,No
Central Coast Bank,2014,2,4.21,6.75,65.5,-1.42,117.79,0.34,84.66,Yes
National Coast Bancorp,2014,2,13.46,1.86,128.93,2.07,82.17,2.24,46.51,No
United Valley Financial,2014,2,11.86,0.0,109.14,1.59,79.48,2.65,41.82,No
National Coast Bancorp,2014,2,13.63,0.38,99.29,1.82,55.52,2.3,55.73,No
National Coast Bank,2014,2,13.75,2.79,131.09,2.62,48.71,3.23,44.7,No
National America Financial,2014,2,10.51,2.56,102.7,1.12,76.34,3.24,51.37,No
National Coast Financial,2014,2,4.24,9.23,76.8,-0.91,82.34,0.79,88.38,Yes
Metropolitan America Financial,2014,2,8.65,6.02,67.5,-1.16,104.12,0.71,51.06,Yes
Community Mountain Bank,2014,2,14.39,3.79,113.88,1.47,68.63,2.91,59.96,No
Regional Plains Bancorp,2014,2,12.11,1.21,106.82,2.43,76.0,3.53,40.32,No
Metropolitan America Financial,2014,2,15.68,0.26,127.1,1.05,62.1,3.78,58.31,No
Regional Plains Bank,2014,2,10.91,1.48,121.01,2.26,82.52,2.77,33.88,No
First Valley Credit,2014,2,12.31,1.54,106.99,2.15,67.87,3.15,41.06,No
Metropolitan State Credit,2014,2,12.97,0.68,111.72,1.88,87.42,3.39,60.77,No
Metropolitan Coast Financial,2014,2,14.83,5.6,120.42,2.71,80.13,3.5,67.74,No
National Plains Bank,2014,2,11.16,1.5,123.2,1.91,73.19,3.78,45.22,No
United Valley Bank,2014,2,5.39,7.52,67.72,-2.91,91.3,1.34,94.38,Yes
United River Bank,2014,2,9.69,0.84,120.3,0.96,65.55,2.13,63.69,No
United River Bank,2014,2,4.46,11.96,81.14,-1.65,83.92,0.9,78.95,Yes
Central State Trust,2014,2,6.69,4.67,77.46,-0.73,94.89,0.64,78.15,Yes
Central State Bank,2014,2,4.37,7.18,70.85,-0.74,126.49,0.93,90.05,Yes
First Valley Bank,2014,2,12.46,1.76,118.81,1.97,72.8,2.52,35.35,No
United Mountain Trust,2014,2,7.31,9.69,77.46,-0.85,111.51,1.36,87.88,Yes
United State Credit,2014,2,10.28,0.9,116.11,1.99,67.58,2.06,67.22,No
First State Bank,2014,2,11.45,2.17,132.45,0.83,64.88,2.81,46.64,No
Metropolitan America Bancorp,2014,2,11.65,3.45,126.73,2.48,70.47,2.3,29.2,No
First Plains Trust,2014,2,8.94,2.36,120.32,1.89,66.31,4.01,41.77,No
Central State Financial,2014,2,13.86,2.0,119.39,2.59,84.63,2.88,57.99,No
National Coast Financial,2014,2,12.73,2.01,122.04,1.66,66.94,2.71,59.01,No
United State Financial,2014,2,11.81,0.7,112.77,0.4,65.06,3.02,48.64,No
Metropolitan River Trust,2014,2,9.96,8.72,75.3,-2.64,94.53,0.76,72.14,Yes
Central Plains Financial,2014,2,10.4,0.19,107.24,2.44,68.57,2.75,49.95,No
Metropolitan America Credit,2014,2,8.33,7.01,75.4,-1.85,90.72,1.18,98.93,Yes
Regional State Credit,2014,2,14.86,2.58,121.51,2.7,77.95,1.85,39.46,No
Community America Bank,2014,2,12.68,0.21,111.02,1.65,67.44,2.86,47.11,No
Community Coast Credit,2014,2,7.65,6.2,66.15,-2.35,115.37,0.66,69.13,Yes
Regional Coast Trust,2014,2,12.43,1.23,114.74,2.13,66.74,4.16,49.25,No
Central River Credit,2014,2,13.24,0.06,111.39,1.46,60.46,3.21,60.36,No
Community Coast Bancorp,2014,2,12.69,1.77,113.69,2.56,90.71,3.07,59.39,No
Central Mountain Financial,2014,3,12.69,2.76,108.35,1.76,73.95,3.61,41.82,No
Community River Financial,2014,3,7.93,1.5,130.1,1.21,58.23,3.08,48.84,No
